Name, Address
Trường THPT Nguyễn Quốc Trinh,"xã Đại Áng, huyện Thanh Trì, Hà Nội"
Trường THPT Mê Linh,Mê Linh
Trường THPT Quang Minh,"TT. Chi Đông, Mê Linh"
Trường THPT Yên Lãng,"Liên Mạc, Mê Linh"
Trường THPT Tiến Thịnh,"Thôn Chu Trần, xã Tiến Thịnh, huyện Mê Linh"
Trường THPT Tự Lập,"Tự Lập, huyện Mê Linh"
Trường THPT Tiền Phong,"QL23, Tiền Phong, Mê Linh"
Trường THPT Nguyễn Du - Mê Linh,"Xã Đại Thịnh, huyện Mê Linh"
Trường THPT Sơn Tây,"Số 45 đường Đền Và, phường Trung Hưng, thị xã Sơn Tây"
Trường THPT Xuân Khanh,"Số 175 Dốc Đá Bạc, Xuân Khanh, Sơn Tây"
Trường phổ thông võ thuật Bảo Long,"Trại Hồ, Xã Cổ Đông, Sơn Tây"
Trường THPT Nguyễn Tất Thành - Sơn Tây,"Trường THCS Phùng Hưng, phường Quang Trung, Sơn Tây"
Trường THPT Quảng Oai,"TT. Tây Đằng, Ba Vì"
Trường THPT Ngô Quyền - Ba Vì,"Xã Vạn Thắng, huyện Ba Vì"
Trường THPT Minh Quang,"Thôn Lặt, xã Minh Quang, huyện Ba Vì"
Trường THPT Ba Vì,Thôn 7 - Ba Trại - Ba Vì
Trường THPT Bất Bạt,"số 92, Xã Sơn Đà, huyện Ba Vì"
Trường phổ thông Dân tộc Nội trú,huyện Ba Vì
Trường THPT Trần Phú - Ba Vì,"Thị Trấn Tây Đằng, Ba Vì"
Trường THPT Lương Thế Vinh - Ba Vì,"Km 56 Quốc lộ 32, Thôn Vật Phụ, Xã Vật Lại, huyện Ba Vì"
Trường THPT Ngọc Tảo,Cụm 8 - xã Ngọc Tảo - huyện Phúc Thọ
Trường THPT Phúc Thọ,"Xã Võng Xuyên, huyện Phúc Thọ"
Trường THPT Vân Cốc,Xã Vân Nam- Huyện Phúc Thọ
Trường THPT Đan Phượng,"Phố Phan Đình Phùng, thị trấn Phùng, huyện Đan Phượng"
Trường THPT Hồng Thái,Cụm 8 - Xã Hồng Hà - Huyện Đan Phượng
Trường THPT Tân Lập,"251 Hạ Hội, Tân Lập, Đan Phượng"
Trường THPT Hoài Đức A,"Kim Chung Di Trạch, xã Kim Chung, huyện Hoài Đức"
Trường THPT Hoài Đức B,"xã An Khánh, huyện Hoài Đức"
Trường THPT Hoài Đức C,"thôn Phương Bảng, xã Song Phương, huyện Hoài Đức"
Trường THPT Vạn Xuân - Hoài Đức,"Km 0, tỉnh lộ 79, xã Cát Quế, huyện Hoài Đức"
Trường THPT Quốc Oai,"TT. Quốc Oai, huyện Quốc Oai"
Trường THPT Cao Bá Quát - Quốc Oai,"xã Tân Hoà, huyện Quốc Oai"
Trường THPT Minh Khai,Xã Cấn Hữu - Huyện Quốc Oai
Trường THPT Phan Huy Chú - Quốc Oai,"xã Sài Sơn, huyện Quốc Oai"
Trường THPT Phú Bình,"Cơ sở 1 Khu 900, Phú Mãn, Quốc Oai, Trụ Sở 2: thôn 9- Thạch Hòa -Thạch Thất"
Trường THPT Nguyễn Trực,"Đồng Quang, Quốc Oai"
