category,location,name,open_time,point,price
Gọi món Singapore (Chuyên cơm gà),"Số 9 Nguyễn Hoàng, Q. Nam Từ Liêm, Hà Nội",Kampong Chicken House - Cơm Gà Hải Nam - Nguyễn Hoàng  ,10h30 – 14h00 & 17h30 – 21h30,4,150.000 - 250.000 vnđ/người
Buffet lẩu,"Số 5 ngõ 37, Trần Quốc Hoàn, Q. Cầu Giấy",Hotpot Kingdom - Trần Quốc Hoàn,17h00 - 21h00,3.8,130.000 - 200.000 đ/người
Gọi món Việt,"Số 52 Nguyễn Khang, P. Yên Hòa, Q. Cầu Giấy",Cô Tô - Nguyễn Khang,11h00 – 14h00 & 17h00 - 22h00,3.7,200.000 – 300.000 đ/người
"Gọi món, Buffet Lẩu","688 Lạc Long Quân, P. Nhật Tân, Q. Tây Hồ",Lẩu Bà Thúy - Lạc Long Quân ,09h00 - 14h00 & 16h30 - 22h00,3.8,150.000 - 200.000 đ/người
Gọi Món Việt,"Số 46 Trần Quốc Hoàn, P. Dịch Vọng Hậu, Q. Cầu Giấy",Trung Dũng - Trần Quốc Hoàn,11h00 - 22h00,4,150.000 – 250.000 đ/người
Buffet lẩu,"485 Nguyễn Văn Cừ, Q. Long Biên",Lẩu Phan – Nguyễn Văn Cừ ,17h00 - 21h00,3.8,130.000 - 200.000 đ/người
Gọi món Singapore (Chuyên cơm gà),"Số 12 Phạm Ngọc Thạch, Q. Đống Đa, Hà Nội",Kampong Chicken House - Cơm Gà Hải Nam - Phạm Ngọc Thạch ,10h30 – 14h00 & 17h30 – 21h30,4,150.000 - 250.000 vnđ/người
Gọi món Thái,"Số 75 Láng Hạ, P. Thành Công, Q. Ba Đình, Hà Nội",COCA Restaurant - Nhà hàng Lẩu Thái - Láng Hạ,10h30 – 14h30 & 17h30 – 21h30,4,250.000 – 400.000 đ/người
Buffet lẩu,"BT24 KĐT mới Nghĩa Đô, Ngõ 106 Hoàng Quốc Việt, P. Nghĩa Đô, Q. Cầu Giấy",Lẩu Phan - KĐT Nghĩa Đô,T2 - T5: 11h00-14h00 & 17h00-21h00 và T6-CN:11h00-21h00,3.8,130.000 - 200.000 đ/người
Buffet lẩu,"KĐT Mon City, TT01, Số 04 Hàm Nghi, Q. Nam Từ Liêm",Lẩu Phan - Mon City,T2 - T5: 11h00-14h00 & 17h00-21h00 và T6-CN:11h00-21h00,3.4,120.000 - 150.000 đ/người
Buffet lẩu,"7 Đào Duy Anh (trong Khách sạn Kim Liên), Q. Đống Đa",Lẩu Phan – Đào Duy Anh ,T2 - T5: 11h00-14h00 & 17h00-21h00 và T6-CN:11h00-21h00,3.8,130.000 - 200.000 đ/người
Buffet lẩu,"Ngõ 131, Số 34 Thái Hà, Q. Đống Đa",Lẩu Phan - Thái Hà,17h00 - 21h00,3.8,120.000 - 150.000 đ/người
Buffet lẩu,"Số 16 ngõ 59 Láng Hạ, Q. Đống Đa",Lẩu Phan - Láng Hạ,T2 - T5: 11h00-14h00 & 17h00-21h00 và T6-CN:11h00-21h00,3.8,130.000 - 200.000 đ/người
Gọi món Việt – Chuyên lẩu nấm,"Số 52 Đào Tấn, Q. Ba Đình",Nấm Tràng An - Đào Tấn ,10h30 - 14h00 &18h00 - 22h00,4,250.000 - 350.000 đ/người
Buffet lẩu,"Số 278 Thượng Đình, Q. Thanh Xuân,",Lẩu Phan - Thượng Đình,T2 - T5: 11h00-14h00 & 17h00-21h00 và T6-CN:11h00-21h00,3.8,130.000 - 200.000 đ/người
Gọi món (Món ăn trên đĩa nóng),"Tầng G, TTTM The Garden, đường Mễ Trì, P. Mỹ Đình 1, Q. Nam Từ Liêm",Hotto - The Garden,10h30 – 21h30,3.6,80.000 - 150.000 đ/người
Gọi món Nhật Bản,"13 Lý Thường Kiệt, P. Phan Chu Trinh, Q. Hoàn Kiếm",Hatoyama - Lý Thường Kiệt ,10h00 -14h00 & 17h00 - 22h00,4,600.000 - 800.000 vnđ/người
Gọi món hải sản,"Số TT6.2 - 106 khu đô thị mới Đại Kim, P. Đại Kim, Q. Hoàng Mai",Hải Sản Bách Hỷ - KĐT Đại Kim,10h00 - 13h00 & 17h00 - 22h00,3.7,150.000 - 250.000 đ/người
Buffet Lẩu,"Số 989 Giải Phóng, P. Giáp bát, Q. Hoàng Mai",Lẩu Phan – Giải Phóng,T2 - T5: 11h00-14h00 & 17h00-21h00 và T6-CN:11h00-21h00,3.8,130.000 - 200.000 đ/người
"Gọi món Á, Âu (Chuyên rượu vang)","Số 13M2, Ngõ 112 Trung Kính, P. Yên Hòa, Q. Cầu Giấy",Thung Lũng Vang - Trung Kính,10h00 – 23h00,3.7,300.000 - 500.000 đ/người
Gọi món Trung Hoa,"N04 Hoàng Đạo Thuý, Q. Cầu Giấy",Mỹ Tường Viên - Hoàng Đạo Thúy,11h00 - 13h30 & 18h00 - 21h00,4,200.000 - 300.000 đ/người
Gọi món Việt (Chuyên Bò Tơ),"Số 02 Hoa Lư, P. Lê Đại Hành, Q. Hai Bà Trưng",Bò Tơ Quán Mộc - Hoa Lư,10h30 - 14h00 & 17h30 - 21h30,3.8,200.000 - 250.000 đ/người
Gọi món Âu (chuyên đồ Pháp),"28 Đỗ Quang, P. Trung Hòa, Q. Cầu Giấy",EMM’s French Bistro - Đỗ Quang,08h00-22h30,3.8,200.000 - 400.000 đ/người
Buffet lẩu băng chuyền,"Tầng 1 toà nhà Gold Season, 47 Nguyễn Tuân, P. Thanh Xuân Trung, Q. Thanh Xuân",Lẩu Băng Chuyền Kichi Kichi - Nguyễn Tuân  ,11h00 - 14h00 & 17h00 - 20h00,3.9,230.000 - 280.000 đ/người
Gọi món Lào,"Tầng L3, TTTM Vincom Center Metropolis, 29 Liễu Giai, Q. Ba Đình",Khao Lao - Vincom Metropolis Liễu Giai,11h00 – 21h30,3.9,200.000 - 250.000 đ/người
"Buffet, Gọi món nướng Trung Hoa","Số 71 Trung Hoà, Q. Cầu Giấy",ChiFan - Trung Hòa,11h00 -14h00 & 18h00 – 22h00,3.8,150.000 - 250.000 đ/người
Gọi món (Chuyên Lẩu Nấm) ,"SH 16 KĐT Nam Trung Yên, Mạc Thái Tổ, P. Yên Hoà, Q. Cầu Giấy",Lẩu Hoàng Minh - Mạc Thái Tổ ,10h30 – 21h30,3.6,150.000 - 350.000 đ/người
Buffet nướng lẩu Hàn Quốc,"Lô T274, tầng 2 TTTM Aeon Mall Hà Đông, P. Dương Nội, Q. Hà Đông",King BBQ Buffet - Aeon Mall Hà Đông,10h00 - 22h00,4,250.000 - 350.000 đ/người
Gọi món Việt,"Số 38 Hàm Long, P. Hàng Bài, Q. Hoàn Kiếm",Bếp Quán – Hàm Long,10h00 – 21h30,3.8,150.000 - 250.000 đ/người
Gọi món Âu ,"Số 66 Nguyên Hồng, P. Láng Hạ, Q. Đống Đa",SBB Belgian Beer Club - Vương Quốc Bia Bỉ - Nguyên Hồng ,09h00 - 23h45,3.7,200.000 - 300.000 đ/người
"Buffet, Gọi món Nhật","17/19 Trần Quang Diệu, P. Ô Chợ Dừa, Q. Đống Đa",Trạm Sushi - Trần Quang Diệu,09h30 - 14h00 & 17h00 - 21h30,4,200.000 - 300.000 đ/người
"Gọi món, buffet Nhật Bản","Lô T162, tầng 1, TTTM Aeon Hà Đông, P. Dương Nội, Q. Hà Đông",iSushi - Aeon Mall Hà Đông,10h00 - 14h00 & 17h30 - 21h30,4,350.000 - 550.000 vnđ/người
Buffet Lẩu,"976 Đường Láng, P. Yên Hoà, Q. Đống Đa",Yum Yum Buffet Hotpot Station - Đường Láng,09h00 – 22h00,4,140.000 - 200.000 đ/người
Gọi món Việt ,"Số 41  Đường Nguyễn Hoàng, P. Mỹ Đình 2, Q. Nam từ Liêm",Gà Mẹt - Gà Không Lối Thoát – Nguyễn Hoàng,09h30 – 14h00 & 16h30 – 22h00,4,100.000 - 200.000 đ/người
Gọi món Âu (Chuyên Steak Pháp),"231 Tô Hiệu, Q. Cầu Giấy",Le Monde Steak - Tô Hiệu,11h00 - 14h00 & 17h00 - 21h30,3.7,150.000 - 250.000 đ/người
Chuyên lẩu nấm," Số 06 – C11 Shophouse Ngoại Giao Đoàn, P. Xuân Tảo, Q. Bắc Từ Liêm",Lẩu Nấm Gia Khánh - Ngoại Giao Đoàn,10h30 – 21h00,3.5,180.000 - 210.000 đ/người
"Buffet, Gọi món chay","Ngõ 140 Tố Hữu, Vạn Phúc, Hà Đông, Hà Nội",Chay Phúc Nguyên Hưng - Tố Hữu   ,10h30 – 14h00 & 17h30 – 22h00,4,80.000 - 160.000 đ/người
Gọi món Âu ,"Số 100 Linh Lang, P. Cống Vị, Q. Ba Đình",Vinci Pizza and Grill - Linh Lang,11h00 – 14h00 & 17h00 – 22h00,4.5,140.000 - 1.000.000 đ/người
Gọi món (Chuyên Hải Sản) ,"SH17-18, Khu đô thị Nam Trung Yên, Đường Mạc Thái Tổ, P. Yên Hòa, Q. Cầu Giấy",Hải Sản Hạ Long Bay - Mạc Thái Tổ,09h00 – 22h30,4,150.000 - 250.000 đ/người
Chuyên lẩu bò nhúng dấm,"Số 10 Ngách 76/8 Duy Tân, P.Dịch Vọng Hậu, Q.Cầu Giấy",Bò Ngon 555 - Duy Tân,10h30 - 13h30 & 17h30 - 21h00,3.6,150.000 - 170.000 đ/người
Gọi món Âu (Chuyên Steak Pháp),"Số 1A Dịch Vọng Hậu, Q. Cầu Giấy",Le Monde Steak - Trần Thái Tông  ,11h00 - 14h00 & 17h00 - 21h30,3.7,150.000 - 250.000 đ/người
Buffet nướng lẩu Hàn Quốc,"Lô T5- 09, tầng 5 TTTM Vincom Center Trần Duy Hưng, Trung Hòa, Q. Cầu Giấy",Dolpan Sam - Vincom Trần Duy Hưng,10h00 - 22h00,3.9,150.000 - 250.000 đ/người
Gọi món Việt ,"Số 1 Trần Đăng Ninh, P. Dịch Vọng, Q. Cầu Giấy",Chả Cá Đông Sơn (Dong Son Drum) - Trần Đăng Ninh,10h00 – 22h00,3.6,120.000 - 200.000 đ/người
Gọi món Trung Hoa,"T263, Tầng 2, TTTM Aeon Mall Hà Đông , P.Dương Nội, Q. Hà Đông",Meiwei - Aeon Mall Hà Đông,10h00 - 22h00,3.9,200.000 - 300.000 đ/người
Gọi món Âu ,"Số 31 Phan Chu Trinh, P. Phan Chu Trinh, Q. Hoàn Kiếm",Pasta Danza - Phan Chu Trinh,07h00 – 22h30,3.8,100.000 - 300.000 đ/người
Gọi món Alacarte (Á – Âu),"Số 5 Yên Lãng, P. Trung Liệt, Q. Đống Đa",Zamba Food Garden - Yên Lãng   ,11h00 – 21h30,4.2,300.000 - 350.000 đ/người
Buffet & Gọi Món,"Tầng 9, Keangnam Landmark 72 Phạm Hùng, P. Mễ Trì, Q. Nam Từ Liêm",Pizza & - Keangnam Landmark 72,Alacarte 10h00 – 22h00; Buffet T2-T6 : 11h30 – 14h00,4,120.000 - 200.000 đ/người
Gọi món Âu ,"Số 16 Trấn Vũ, P. Quán Thánh, Q. Ba Đình",Fabrik - Trấn Vũ  ,11h00 – 22h00,3.8,200.000 - 500.000 vnđ/người
Gọi món nướng lẩu Hàn Quốc,"Gian hàng 11B, Đường số 9,tầng B1, TTTM Times city,  458 Minh Khai,Q. Hai Bà Trưng",King BBQ Deli - Times City,10h00 - 22h00,4,200.000 - 350.000 đ/người
Buffet Nướng Lẩu," Số 14, Đường Cầu Vồng, P. Đức Thắng, Q. Bắc Từ Liêm",The Buffet Garden - Cầu Vồng,10h00 - 13h30 & 17h00 - 21h30,3.5,150.000 - 200.000 đ/người
Gọi món Nhật Bản,"Số 629 Kim Mã, Q. Ba Đình",Taraumi - Kim Mã,10h00 - 22h00,3.8,100.000 - 350.000 đ/người
Gọi món Âu ,"Số 100A Xuân Diệu, P. Tứ Liên, Q. Tây Hồ ",Flamant Bistro - Xuân Diệu,09h00 – 24h00,4,200.000 - 700.000 đ/người
Buffet; Gọi món Nhật Bản,"Số 1A Nguyễn Tri Phương, Q. Ba Đình",G8 Osake House - Nguyễn Tri Phương,10h00 – 14h00 & 17h00 – 22h00,4.3,200.000 - 300.000 đ/người
Gọi món Lào,"Lô T249-250 - Tầng 2 - TTTM Aeon Mall Hà Đông , P.Dương Nội, Q.Hà Đông",Khao Lao - Aeon Mall Hà Đông,11h00 – 14h00 & 17h30 – 21h00,3.9,200.000 - 250.000 vnđ/người
Gọi món Việt (chuyên cá),"BT 12a-04 KĐT An Hưng, P.Dương Nội, Q.Hà Đông",Quán Cá Việt Trì 2 - Hà Đông,10h00 – 15h00 & 17h00 – 21h30,3.6,160.000 - 250.000 đ/người
Gọi món Việt (Chuyên lẩu),"Số 728 Trương Định, Q. Hai Bà Trưng. Cửa phụ: Ngõ 24/77 Phố Kim Đồng, (Sau bến xe Giáp Bát).",Lẩu Đức Trọc - Trương Định,11h00 - 14h00 & 18h00 - 21h30,3.8,150.000 - 250.000 đ/người
Gọi món lẩu hơi,"51 Võ Chí Công, P. Xuân La, Q. Tây Hồ",Lẩu Sauna Cường Thịnh - Võ Chí Công ,10h30 - 13h30 & 17h30 - 21h00,3.7,125.000 - 350.000 đ/người
Gọi món Việt (chuyên gà) ,"BT 11-VT 12 (đối diện chung cư CT2B), KĐT Xa La, P. Phúc La, Q. Hà Đông",Vương Quốc Gà - KĐT Xa La,11h00-15h00 & 17h00 – 22h30,3.5,100.000 - 200.000 đ/người
Gọi món Việt,"Số 3 đường Lâm Du, P. Bồ Đề, Q. Long Biên",Đồng Việt - Lâm Du,10h30 - 22h30,3.8,150.000 - 250.000 đ/người
Gọi món Âu (chuyên Steak),"79 Hoàng Cầu, P. Ô Chợ Dừa, Q. Đống Đa",Gent Steak - Hoàng Cầu  ,10h00 – 15h00 & 17h00 – 21h30,3.6,200.000 - 350.000 đ/người
Gọi món Huế,"Tầng 1 – Khu Ẩm Thực – Aeon Mall Hà Đông , Khu Đô Thị  Dương Nội – Q. Hà Đông",Nét Huế - Aeon Mall Hà Đông,09h30 – 21h30,3.8,80.000 - 150.000 đ/người
Gọi món Huế,"BH 06 - 07, Tầng BH – TTTM Vincom Nguyễn Chí Thanh  - 54A Nguyễn Chí Thanh, P. Láng Thượng –  Q. Đống Đa",Nét Huế - Vincom Nguyễn Chí Thanh,09h30 – 21h30,3.8,80.000 - 150.000 đ/người
Buffet Nướng lẩu Hải sản,"481 Lạc Long Quân, P. Xuân La, Q. Tây Hồ",OHCHA - Lạc Long Quân  ,11h00 - 14h00 & 17h30 - 22h00,3.8,200.000 - 300.000 đ/người
Gọi món nướng Hàn Quốc,"Gian số T269-270, Tầng 2 TTTM Aeon Mall, P. Dương Nội, Q. Hà Đông",Meat Plus - Aeon Mall Hà Đông,T2-T6: 10h00 - 14h30 & 17h30 - 21h30,3.8,250.000 - 300.000 đ/người
Món ăn đồng quê,"Khu liền kề 03, Lô 02-03 Tân Lập, H. Đan Phượng",Quán Sơn Cước - KĐT Tân Tây Đô ,09h00 – 22h00,3.8,100.000 - 300.000 đ/người
Gọi món Việt,"Số 4, Mạc Thái Tổ, P. Yên Hòa, Q. Cầu Giấy",Châu Giang - Mạc Thái Tổ,08h00 – 15h00 & 17h00 – 21h30,4,200.000 - 350.000 đ/người
"Buffet Nướng, Lẩu & Dimsum","Số 186 Thượng Đình,P. Thanh Xuân Trung,Q. Thanh Xuân",Deli 4B BBQ & Hotpot - Thượng Đình   ,10h45 - 13h30 & 17h45 – 21h00,3.8,150.000 - 250.000 đ/người
"Buffet, Gọi món Thái Lan","Tầng 2, TTTM Aeon Mall, P. Dương Nội, Q. Hà Đông",Bếp Thái Koh Yam - Aeon Mall Hà Đông ,T2  -T6 : 11h -13h30 & 17h30 - 20h30,3.8,200.000 - 260.000 đ/người
Lẩu hơi &  Buffet lẩu nướng ,"Số 273 Tô Hiệu, P. Dịch Vọng, Q. Cầu Giấy",Safodi - Tô Hiệu,10h30 – 22h30 ,3.7,100.000 - 300.000 đ/người
Gọi món Âu,"Số 7 Xuân Diệu, P. Quảng  An, Q. Tây Hồ",The Vin Steak - Xuân Diệu  ,10h00 – 14h00 & 17h30 – 22h00,4,300.000 - 400.000 đ/người
Gọi món Việt (đặc sản đồng quê),"LV3, khu biệt thự 96 – 96B Nguyễn Huy Tưởng, P. Thanh Xuân Trung, Q. Thanh Xuân",Xứ Đôông - Nguyễn Huy Tưởng,10h30 – 22h30 ,3.7,100.000 - 200.000 đ/người
Gọi món Á - Âu ,"23 Hàn Thuyên, P. Phạm Đình Hổ, Q. Hai Bà Trưng",Hầm Rượu Vang Wine & Wood - Hàn Thuyên,10h30 - 22h30,3.8,500.000 - 700.000 đ/người
Gọi món Việt,"Số 18 Đoàn Trần Nghiệp, P. Bùi Thị Xuân, Q. Hai Bà Trưng",Cuốn N Roll - Đoàn Trần Nghiệp,10h30 – 12h30 & 17h30 – 20h0 ,3.8,150.000 - 250.000 đ/người
Gọi món Việt (Chuyên Lẩu),"Số 33 Lê Văn Thiêm, P. Nhân Chính, Q. Thanh Xuân",Lạ Quán - Lê Văn Thiêm,10h00 - 20h30,3.9,100.000 - 180.000 đ/người
Gọi món Việt (Chuyên Gà)," Số 30, Phố Trung Phụng, Q. Đống Đa",Gà Mái Ghẹ - Trung Phụng,07h00 – 23h00,3.8,80.000 - 180.000 đ/người
Buffet Lẩu & Nướng,"LK6C - Số 48 Đường Nguyễn Văn Lộc, P. Mộ Lao, Q. Hà Đông",Deli Plus BBQ & Hotpot - Nguyễn Văn Lộc    ,10h45 - 13h30 & 17h45 – 21h00,3.8,150.000 - 240.000 đ/người
Gọi món Việt,"Tầng 3, D2 Giảng Võ, P. Giảng Võ, Q. Ba Đình",Cuốn N Roll - Giảng Võ,10h30 – 12h30 &17h30 – 20h00 ,3.8,150.000 - 250.000 đ/người
Buffet nướng lẩu Hàn Quốc,"Số 83 Tuệ Tĩnh, P. Nguyễn Du, Q. Hai Bà Trưng",Gui Gui BBQ - Tuệ Tĩnh,11h00 - 13h30 & 17h00 - 21h30,3.7,200.000 - 300.000 đ/người
Gọi món Việt,"17T6 Hoàng Đạo Thuý, P. Trung Hoà, Q. Thanh Xuân",Cuốn N Roll - Hoàng Đạo Thuý,10h30 – 12h30 &17h30 – 20h00 ,3.8,150.000 - 250.000 đ/người
Gọi món Việt,"Số 90 Trần Thái Tông, P.  Dịch Vọng Hậu, Q. Cầu Giấy",Cuốn N Roll - Trần Thái Tông,10h30 – 12h30 &17h30 – 20h00 ,3.8,150.000 - 250.000 đ/người
"Gọi món Á, Âu ","Số 11 Đường Hướng Dương 5, P.  Sài Đồng, Q. Long Biên",SoftWater - Vinhomes Riverside Long Biên ,07h00 – 22h00 ,4.2,250.000 - 500.000 đ/người
Gọi món Việt,"Số 2, Ngõ 68 Ngọc Thuỵ, Q. Long biên",Ẩm Thực Đồng Quê - Ngọc Thụy,10h00 - 22h00,3.8,100.000 - 150.000 đ/người
Chuyên hải sản tươi sống,"Số 166 Hào Nam, P. Ô Chợ Dừa, Q. Đống Đa",Đảo Ốc - Hào Nam,18h00 - 3h00 sáng ,3.6,250.000 - 350.000 vnđ/người
Buffet Hải sản&Dimsum,"Số 01 Thái Hà, Q. Đống Đa",Buffet Hải Sản & Dimsum Cửu Vân Long - Thái Hà,11h00 - 13h00 & 18h00 - 22h00,4,370.000 - 420.000 đ/người
Gọi món Nhật Bản,"Số 25 phố Tông Đản, P. Tràng Tiền, Q. Hoàn Kiếm",Shamoji Robata Yaki - Tông Đản ,11h00 - 14h00 & 17h30 - 22h00  ,3.9,350.000 - 500.000 đ/người
Gọi món Nhật Bản,"Số 170 Xuân Diệu, P. Quảng An, Q. Tây Hồ",Shamoji Robata Yaki - Xuân Diệu,T2 – T5: 11h00 – 14h00 & 17h30 – 22h00  và T6 – CN:11h00 – 14h00 & 17h30 – 02h00 sáng hôm sau,3.9,350.000 - 500.000 đ/người
Gọi món Nhật Bản,"Số 118 Trung Hòa, P. Yên Hòa, Q. Cầu Giấy",Shamoji Robata Yaki - Trung Hoà,11h00 - 14h00 & 17h30 - 22h00  ,3.9,350.000 - 500.000 đ/người
Gọi món Nhật,"Số 102C5 Trần Huy Liệu, Q. Ba Đình",Let’s Sushi  - Trần Huy Liệu,10h00 - 21h30,4,200.000 - 300.000 đ/người
Gọi món Nhật Bản,"Tầng 1, Tòa nhà Leopalace21 Granferte, 226 Đường Bưởi, P. Cống Vị, Q. Ba Đình",Hải Sản Nhật Bản Nihonkai - Đường Bưởi,11h00 – 14h00 và 17h00 – 22h30,3.8,300.000 - 400.000 đ/người
Gọi món Thái Lan,"Số 18 ngõ 9 đường Hoàng Ngọc Phách, P. Láng Hạ, Q. Đống Đa",Khao San - Hoàng Ngọc Phách ,10h00 – 22h00 ,3.6,100.000 - 200.000 đ/người
Gọi món Việt ,"Số 75 Nguyễn Công Hoan, P.  Ngọc Khánh, Q. Ba Đình",Bánh Tráng Giang Mỹ - Nguyễn Công Hoan,10h00 – 13h30 & 17h30 – 22h30,3.8,150.000 - 250.000 đ/người
Chuyên hải sản tươi sống,"Số 2 Ngõ 86 Duy Tân, Q. Cầu Giấy ",My Way Seafood – Duy Tân ,10h00 - 14h00,4,250.000 - 350.000 đ/người
Buffet Lẩu Châu Á,"Lô T273, Tầng 2, TTTM Aeon Mall Hà Đông, P Dương Nội, Q. Hà Đông",Hotpot Story - Aeon Mall Hà Đông,11h00 – 14h00 & 17h30 - 21h30,3.7,200.000 - 250.000 đ/người
Gọi món Việt ,"Số 42 Hàng Nón, P. Hàng Gai, Q. Hoàn Kiếm",Ngan Ngon Trâm - Hàng Nón,09h00 – 23h00,3.6,100.000 - 200.000 đ/người
Gọi món Việt,"Số 105 đường Trích Sài , P. Bưởi , Q. Tây Hồ",Tây Vương Quán - Trích Sài,09h00 – 22h00,4.2,120.000 - 150.000 đ/người
Gọi món Singapore (Chuyên cơm gà),"TTTM Aeon Mall Hà Đông, Đường Ngô Thì Nhậm kéo dài, P. Dương Nội, Q. Hà Đông",Kampong Chicken House - Cơm Gà Hải Nam - Aeon Mall Hà Đông ,10h30 – 14h30 & 17h30 – 21h30,4.2,150.000 - 250.000 đ/người
Gọi món Việt ,"Tầng 1-2, Tòa nhà 17T1, Phố Hoàng Đạo Thúy, P.Trung Hòa, Q.Cầu Giấy",Bánh Tráng Thịt Heo Giang Mỹ - Hoàng Đạo Thúy,10h00 – 14h00 & 17h00 – 22h30,3.6,150.000 - 250.000 đ/người
Gọi món nướng Trung Hoa,"Số 299 Giảng Võ, P. Ngọc Khánh, Q. Ba Đình",Măm Măm BBQ - Giảng Võ,10h00 - 14h00 & 17h00 - 21h30,3.8,100.000 - 250.000 đ/người
Cơm niêu Singapore,"Lô L5-12, tầng L5, Vincom Center Nguyễn Chí Thanh, Số 54A Nguyễn Chí Thanh, P. Láng Thượng, Q. Đống Đa",Kombo - Cơm niêu Singapore - Vincom Nguyễn Chí Thanh,10h30 -  21h00,3.8,70.000 - 100.000 đ/người
Gọi món Thái Lan,"Số 31, phố Triệu Việt Vương, P. Nguyễn Du, Q. Hai Bà Trưng",TukTuk Thai Bistro - Triệu Việt Vương ,10h00 - 21h30,3.9,150.000 - 250.000 đ/người
Gọi món steak phong cách Hàn Quốc,"Lô J1, tầng 4 tòa nhà Center Point, 27 Lê Văn Lương, P. Nhân Chính, Q. Thanh Xuân",GoGi Steak House - Lê Văn Lương,10h30 - 21h30,3.8,400.000 - 500.000 đ/người
Gọi Món Việt,"Số 66 Đường Nguyễn Văn Tuyết (Ngõ 298 Tây Sơn), P. Trung Liệt, Q. Đống Đa",Vitamin Beer - Nguyễn Văn Tuyết,09h00 – 22h00 ,4.3,200.000 - 300.000 đ/người
Gọi món Việt,"Số 26 Nguyễn Thị Định, P. Trung Hòa, Q. Cầu Giấy",Timibon Quán - Nguyễn Thị Định   ,10h00 - 14h00 & 17h00 - 21h30,3.7,150.000 - 250.000 đ/người
"Buffet, Gọi món Trung Hoa","Số 2 Lý Thường Kiệt, P. Phan Chu Trinh, Q. Hoàn Kiếm",Tao Li Canting - Lý Thường Kiệt,10h00 – 22h00,3.9,350.000 - 500.000 đ/người
Gọi món Việt ,"Số 12, Ngõ 40 Hồng Tiến, P. Bồ Đề, Q. Long Biên",Gà Mẹt - Gà Không Lối Thoát - Long Biên,09h30 – 14h00 & 16h30 – 22h30,3.9,100.000 - 200.000 đ/người
Chuyên lẩu & các món nhậu,"Số 33 Phan Chu Trinh, Q. Hoàn Kiếm",Lẩu Đức Trọc - Phan Chu Trinh,10h00 - 13h30 & 16h30 - 22h00,3.5,150.000 - 250.000 đ/người
"Buffet, Gọi món nướng Nhật Bản","B2 - R6 - 37 38 TTTM Royal City, 72 Nguyễn Trãi, P. Thượng Đình, Q. Thanh Xuân",Shogun - Royal City   ,10h30 - 21h00,3.8,300.000 - 380.000 đ/người
Ẩm thực đường phố Hàn Quốc,"Số 110 Hai Bà Trưng, P. Cửa Nam, Q. Hoàn Kiếm",Gà Rán Seoul Soul - Hai Bà Trưng,10h30-14h30 & 17h30 - 21h00,3.8,60.000 - 190.000 đ/người
Chuyên Dê ré,"39 Trần Kim Xuyến, Q. Cầu Giấy",Dê Ré Song Dương - Trần Kim Xuyến,10h00 – 21h00,3.8,280.000 - 300.000 vnđ/người
"Buffet, Gọi món Cá Lăng","Số 445 Bạch Đằng, Q. Hoàn Kiếm",Cá Lăng Toàn Thắng - Bạch Đằng,11h00 - 22h00,4,300.000  – 400.000 đ/người
Buffet Lẩu,"Số 1 Ngõ 117 Thái Hà, P. Trung Liệt, Q. Đống Đa",Golden Laksa 38 - Thái Hà,10h30 - 14h00 & 17h30 - 21h00,3.9,150.000 - 270.000 đ/người
"Buffet, gọi món nướng lẩu Nhật Bản","TTTM BigC 222 Trần Duy Hưng, Q. Cầu Giấy",Sumo Yakiniku  – Trần Duy Hưng,11h00 - 21h30,3.9,250.000 - 400.000 vnđ/người
Buffet hải sản & Dimsum,"TTTM Discovery Complex, Tầng 6, Số 302 Cầu Giấy, P. Dịch Vọng, Q. Cầu Giấy",Buffet Hải sản & Dimsum Cửu Vân Long – TTTM Discovery Complex,11h00 - 13h00 và 18h00 - 21h00,3.8,370.000 - 420.000 đ/người
Gọi món Việt - Thái,"85 Thái Hà, Q. Đống Đa", Food House – Thái Hà ,11h00 -13h00 và 17h30 - 20h30,4,150.000 - 250.000 đ/người
Chuyên hải sản tươi sống,"Số 2 Ngõ 84 Trần Thái Tông, Q. Cầu Giấy",Hải Sản Biển Đông - Trần Thái Tông,10h00 - 14h00 & 17h30 - 21h30,4,250.000 - 400.000 vnđ/người
Gọi món Tây Bắc,"Số 1, Ngã 5 Hà Trì, P. Hà cầu , Q. Hà Đông",Pao Quán - Hà Đông ,10h00 - 22h30 ,4,180.000 - 250.000 đ/người
Gọi món Việt (Chuyên bò tơ),"Số 88 Ngã tư Vạn Phúc, P. Vạn Phúc, Q. Hà Đông",Bò Tơ Quán Mộc - Vạn Phúc,10h30 - 14h00 & 17h30 -  21h30,4,150.000 - 200.000 đ/người
Buffet Lẩu Hồng Kông,"Số 6, Ngõ 71 Láng Hạ, P. Thành Công, Q. Ba Đình",Yixin – Lẩu Hồng Kông – Láng Hạ,11h00 - 14h00 và 17h30 - 22h00,3.8,100.000 - 150.000 đ/người
Chuyên Dê ré,"Số 9 Hàn Thuyên, Q. Hai Bà Trưng",Dê Ré Song Dương - Hàn Thuyên,10h00 - 14h30 & 17h00 - 22h00,3.8,280.000 - 300.000 vnđ/người
Gọi món Mỹ,"229 Tây Sơn, Mipec Tower, Q. Đống Đa",Cowboy Jack’s Saloon - Mipec Tây Sơn,11h00 – 14h00 và 17h00 – 21h30,3.8,200.000 - 250.000 vnđ/người
