category,location,name,open_time,point,price
Buffet nướng lẩu,"TT02-01 Mon City, Ngõ 4 Hàm Nghi, P.  Mỹ Đình 2, Q. Nam Từ Liêm",Buffet Lẩu Nướng Nhất Nhất – Mon City,10h00 - 14h00 và 17h00 - 22h00,3.9,120.000 - 220.000 đ/người
Chuyên cá hồi,"Số 19, Ngõ 17 Lê Văn Thiêm, P. Nhân Chính, Q. Thanh Xuân ",Cá Hồi Phương Linh – Lê Văn Thiêm ,10h00 - 13h00 & 17h00 - 21h00,3.5,250.000 – 300.000 đ/người
Gọi món Mỹ,"Tầng 5, TTTM Vincom 54 Nguyễn Chí Thanh, P. Láng Thượng, Q. Đống Đa",Cowboy Jack’s Saloon – Vincom Nguyễn Chí Thanh,10h30 – 21h30,3.8,200.000 - 250.000 vnđ/người
Gọi món Trung Hoa,"Royal City, Tầng B2, Lô B2-R3-09B+C, 72 Nguyễn Trãi, P. Thượng Đình, Q.Thanh Xuân ",Meiwei – Royal City     ,10h00 - 22h00,3.9,150.000 - 250.000 đ/người
Buffet Lẩu Nướng Hàn Quốc,"Số 02 BT – 1B KĐT Văn Quán, P. Phúc La, Q. Hà Đông",Wang Wang – Quán thịt nướng Hàn Quốc – KĐT Văn Quán ,11h00 – 13h30 & 17h30 – 21h30,3.8,115.000 – 190.000đ/người
Buffet lẩu băng chuyền,"TTTM Savico, Tầng 3, Số 07 - 09 đường Nguyễn Văn Linh, P. Gia Thụy, Q. Long Biên",Lẩu Băng Chuyền Kichi-Kichi - Savico Long Biên,11h00 – 14h00 & 17h00 – 21h30,3.9,230.000 - 280.000 vnđ/người
Gọi món Việt (Chuyên Dê),"Số 1 ngõ 167 Tây Sơn, P. Quang Trung, Q. Đống Đa",Lẩu Dê Nhất Ly - Tây Sơn,10h00 - 14h00 và 16h00 - 21h30,4,230.000 - 350.000 vnđ/người
Buffet Lẩu Trung Hoa,"18 Đoàn Trần Nghiệp ,Q. Hai Bà Trưng ",Hoolong - Dumpling Bar - Đoàn Trần Nghiệp,10h30 - 12h30 & 17h30 - 20h00,3.8,250.000 - 350.000 đ/người
Cơm niêu Singapore,"78 Vương Thừa Vũ, P. Khương Trung, Q. Thanh Xuân ",Kombo - Cơm Niêu Singapore - Vương Thừa Vũ,10h30 - 21h30,3.5,70.000 - 100.000 đ/người
Cơm niêu Singapore,"Kiot 18, Tòa nhà Rainbow, KĐT Tây Nam Linh Đàm, Q. Hoàng Mai",Kombo - Cơm Niêu Singapore - Linh Đàm,10h30 - 21h30,3.2,70.000 - 100.000 đ/người
Buffet Nướng Lẩu hải sản,"Tầng 4, TTTM Mac Plaza,số 10 Trần Phú,Q.Hà Đông",Cheep Eats - Buffet nướng - lẩu - hải sản - Trần Phú,11h00 - 14h30 và 17h00 - 22h00,4,200.000 - 280.000 đ/người
"Gọi món, Buffet nướng lẩu Hàn Quốc","Số 460 - 462 Nguyễn Văn Cừ, P. Gia Thụy, Q. Long Biên",King BBQ - Nguyễn Văn Cừ,10h00 - 14h00 & 17h00 - 21h00,4,250.000 - 350.000 đ/người
"Buffet, Gọi món Nhật Bản","Số 76 Bùi Thị Xuân, P. Bùi Thị Xuân, Q. Hai Bà Trưng ",Tonchan Ramen - Bùi Thị Xuân,10h30 – 14h00 và  17h00 – 22h00,3.6,150.000 - 200.000 đ/người
Buffet nướng lẩu Hải sản ,"BT 03 - 96B, Nguyễn Huy Tưởng, P. Thanh Xuân Trung, Q. Thanh Xuân",OHCHA - Nguyễn Huy Tưởng,11h00  - 14h00 và 17h00 -  22h00,3.8,200.000 - 300.000 vnđ/người
"Buffet, Gọi món Nhật Bản","Số 120A Phan Kế Bính kéo dài, P. Cống Vị, Q. Ba Đình ",Tonchan Ramen – Phan Kế Bính,10h30 – 14h00 và 17h00 – 22h00,3.6,150.000 - 200.000 đ/người
Buffet nướng lẩu,"Số 188 đường Thượng Đình, P. Thượng Đình, Q. Thanh Xuân ",Lẩu Nướng Không Khói Sài Gòn – 188 Thượng Đình ,11h00 - 14h00 và 16h00 - 23h00,3.5,150.000 - 250.000 đ/người
Buffet nướng lẩu,"Số 258, Đường Thượng Đình, P. Hạ Đình, Q.Thanh Xuân",Lẩu Nướng Không Khói Sài Gòn – 258 Thượng Đình ,11h00 - 14h00 và 16h00 - 23h00,3.5,150.000 - 250.000 đ/người
Chuyên món Gà,"Số 31I Láng Hạ, P. Thành Công, Q. Ba Đình ",Cơm gà Hải Nam – Kampong Chicken – Láng Hạ,10h00 - 14h30 và 17h00 - 21h30,3.5,150.000 - 250.000 đ/người
Gọi món Việt (Chuyên lòng),"Số 18 Phố Trần Thái Tông, P. Dịch Vọng Hậu, Q. Cầu Giấy ",Lòng “Chát” Quán - Trần Thái Tông,10h00 - 14h00 và 18h00 - 23h00,3.5,150.000 – 300.000 đ/người
Chuyên Cá Lăng,"Số 95-97 Trúc Bạch, P. Trúc Bạch, Q. Ba Đình",Quán Cá Phiến Hoan Việt Trì - Trúc Bạch  ,10h00 – 14h00 & 17h00 – 22h00,3.8,200.000 – 250.000 đ/người
Chuyên hải sản tươi sống,"Phong Lan 01-01, KDT Vinhomes Riverside The Harmony, Q. Long Biên ",Hải Sản Biển Đông - Vinhomes Riverside The Harmony Long Biên,10h30 - 21h30,4,250.000 - 400.000 vnđ/người
Gọi món Ý,"Tầng L3, Vincom Center Metropolis, 29 Liễu Giai, Q.Ba Đình",Capricciosa - Vincom Metropolis Liễu Giai,10h30 - 21h00,3.7,200.000 - 250.000 vnđ/người
Gọi món Nhật Bản,"Nhà A7-52 Nguyễn Chí Thanh, P. Láng Thượng, Q. Đống Đa",Taiyou Maguro - Cá Ngừ Đại Dương - Nguyễn Chí Thanh,10h00 – 22h00,4,400.000 đ/người
"Buffet, Gọi món Thái Lan, Buffet Lẩu","Số 122 - K1, Giảng Võ, Q. Ba Đình ",Bếp Thái Koh Yam - Giảng Võ   ,11h -13h30 & 17h30 - 20h30,3.8,200.000 - 260.000 đ/người
Gọi món Âu (Chuyên Steak Pháp),"Số 84 Trung Hòa, P. Trung Hòa, Q. Cầu Giấy ",Le Monde Steak - Trung Hòa,11h00-14h00 & 17h00-21h30,3.7,150.000 - 250.000 vnđ/người
Gọi món Thái Lan,"Tầng 1, TTTM Indochina Plaza Hanoi, 241 Xuân Thủy, Q. Cầu Giấy",ThaiExpress - Indochina Plaza Hanoi ,10h00 - 14h00 & 18h00 - 21h00,3.9,250.000 - 350.000 đ/người
