Name,Address
Tiểu học BỘT XUYÊN,Bột Xuyên – Mỹ Đức
Tiểu Học Bế Văn Đàn,"Số 2 ngõ 14 Hồ Đắc Di, phường Nam Đồng – Phường Nam Đồng – Quận Đống đa – Hà Nội."
Tiểu Học Cát Linh,Số 31A Cát Linh – Đống Đa – Hà Nội
Tiểu Học Thịnh Hào,"Số 9 Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội"
Tiểu Học Văn Chương,"323 Ngõ Văn Chương, Văn Chương, Đống Đa, Hà Nội"
Tiểu Học Khương Thượng,"Số 8 Tôn Thất Tùng, Kim Liên, Đống Đa, Hà Nội"
Tiểu Học Kim Liên,17 Hoàng Tích Trí – Kim Liên – Đống Đa – Hà Nội
Tiểu Học La Thành,"Số 28/79 Ngõ Thổ Quan, Quận Đống Đa, Thành Phố Hà Nội"
Tiểu Học Láng Thượng,"Số 1 Ngõ 185 Chùa Láng, Láng Thượng, Đống Đa, Hà Nội"
Tiểu Học Lý Thường Kiệt,"104, Nguyễn Khuyến, Phường Văn Miếu, Quận Đống Đa, Hà Nội"
Tiểu Học Nam Thành Công,"75 Nguyên Hồng, Láng Hạ, Đống Đa, Hà Nội"
Tiểu Học Phương Liên,"1 Phạm Ngọc Thạch, Phương Liên, Đống Đa, Hà Nội"
Tiểu Học Phương Mai,Số 6 Ngõ 4 Phương Mai – Đống Đa – Hà Nội
Tiểu Học Quang Trung,Số 6 Đặng Tiến Đông – Phường Trung Liệt – Quận Đống Đa – Hà Nội
Tiểu Học Thái Thịnh,"Số 56 phố Yên Lãng, phường Thịnh Quang, quận Đống Đa, TP. Hà Nội"
Tiểu Học Thịnh Quang,"Số 11 ngõ 122 Đường Láng, Đống Đa – Hà Nội"
Tiểu Học Tô Vĩnh Diện,Địa chỉ: 12/79 Cẩm Văn – Hàng Bột – Đống Đa – Hà Nội
Tiểu Học Trung Phụng,"91/218 Phố Chợ Khâm Thiên, Đống Đa"
Tiểu Học Trung Tự,Số 3 ngõ 4A Đặng Văn Ngữ – Đống Đa – Hà Nội
Tiểu Học Hanoi Adelaide School,"B17 Kim Liên, phố Lương Định Của, phường Kim Liên, quận Đống Đa, thành phố Hà Nội"
Tiểu Học Tam Khương,"4 Ngõ 149 Khương Thượng, Hà Nội"
Trường Phổ Thông Liên Cấp Alfred Nobel,"Ngõ 14 Pháo Đài Láng, Đống Đa, Hà Nội"
Tiểu Học VietKids,"21 Ngõ Giếng, Chợ Dừa, Đống Đa, Hà Nội"
Tiểu Học Tư Thục Nguyễn Văn Huyên,"157 Chùa Láng, Láng Thượng, Đống Đa, Hà Nội"
Tiểu học Ba Đình,Số 145 Hoàng Hoa Thám – Ba Đình – Hà Nội
Tiểu học Nguyễn Trung Trực,Số 9A Phạm Hồng Thái – Ba Đình – Hà Nội
Tiểu học Phan Chu Trinh,"– Địa chỉ:Số 40-42 Phố Nguyễn Thái Học, Ba Đình, Hà Nội"
