,area,location,price
17, 1.000 m,"Quận Hà Đông, Hà Nội",48400000
18, 1.000 m,"Quận Hà Đông, Hà Nội",48400000
19, KXĐ,"Quận Hà Đông, Hà Nội",48400000
20, KXĐ,"Quận Hà Đông, Hà Nội",7000000
21, 20 m,"Quận Đống Đa, Hà Nội",8000000
22, 18 m,"Quận Đống Đa, Hà Nội",7000000
23, 40 m,"Quận Đống Đa, Hà Nội",25000000
24, KXĐ,"Quận Đống Đa, Hà Nội",48400000
25, 30 m,"Quận Đống Đa, Hà Nội",48400000
26, 90 m,"Quận Đống Đa, Hà Nội",48400000
27, 75 m,"Quận Đống Đa, Hà Nội",48400000
28, 40 m,"Quận Đống Đa, Hà Nội",25000000
29, KXĐ,"Quận Ba Đình, Hà Nội",48400000
30, 1.200 m,"Quận Ba Đình, Hà Nội",48400000
31, 10.000 m,"Quận Long Biên, Hà Nội",450000000
32, 70 m,"Quận Tây Hồ, Hà Nội",15000000
33, 1.400 m,"Quận Tây Hồ, Hà Nội",48400000
34, 32 m,"Quận Hai Bà Trưng, Hà Nội",9000000
35, 15 m,"Quận Hai Bà Trưng, Hà Nội",9000000
36, 18 m,"Quận Hoàng Mai, Hà Nội",4000000
37, 15 m,"Quận Hoàn Kiếm, Hà Nội",5000000
38, 800 m,"Quận Hoàn Kiếm, Hà Nội",255200000
39, 25 m,"Quận Đống Đa, Hà Nội",12000000
40, 80 m,"Quận Đống Đa, Hà Nội",35000000
41, 40 m,"Quận Đống Đa, Hà Nội",25000000
42, 80 m,"Quận Đống Đa, Hà Nội",50000000
43, 25 m,"Quận Đống Đa, Hà Nội",9000000
44, 40 m,"Quận Đống Đa, Hà Nội",25000000
45, 40 m,"Quận Đống Đa, Hà Nội",25000000
46, 40 m,"Quận Đống Đa, Hà Nội",25000000
47, 32 m,"Quận Ba Đình, Hà Nội",13000000
48, 25 m,"Quận Ba Đình, Hà Nội",15000000
49, 30 m,"Quận Ba Đình, Hà Nội",48400000
50, 1.200 m,"Quận Ba Đình, Hà Nội",48400000
51, 70 m,"Quận Ba Đình, Hà Nội",10000000
52, 40 m,"Quận Ba Đình, Hà Nội",18000000
53, 60 m,"Quận Thanh Xuân, Hà Nội",48500000
54, 60 m,"Quận Thanh Xuân, Hà Nội",48000000
55, 14.000 m,"Quận Long Biên, Hà Nội",630000000
56, 80 m,"Quận Long Biên, Hà Nội",13000000
57, 01 m,"Quận Long Biên, Hà Nội",48400000
58, 60 m,"Quận Long Biên, Hà Nội",25000000
59, 01 m,"Quận Long Biên, Hà Nội",48400000
60, 01 m,"Quận Long Biên, Hà Nội",48400000
61, 01 m,"Quận Long Biên, Hà Nội",48400000
62, 45 m,"Quận Hai Bà Trưng, Hà Nội",48400000
63, 45 m,"Quận Hai Bà Trưng, Hà Nội",48400000
64, 27 m,"Quận Hai Bà Trưng, Hà Nội",15500000
65, 46 m,"Quận Hai Bà Trưng, Hà Nội",21000000
66, 70 m,"Quận Hai Bà Trưng, Hà Nội",48400000
